long,lat,group,party,over_under
-120.15609349,26.82422789,AK.1,R,U
-120.1283036,26.85614516,AK.1,R,U
-120.13953336,26.87556112,AK.1,R,U
-120.13187262,26.85755663,AK.1,R,U
-120.14790586,26.83628307,AK.1,R,U
-120.18536639,26.85859801,AK.1,R,U
-120.15178191,26.87977103,AK.1,R,U
-120.14678303,26.90331463,AK.1,R,U
-120.15682251,26.90627564,AK.1,R,U
-120.13624807,26.916205,AK.1,R,U
-120.13195771,26.9388315,AK.1,R,U
-120.07160392,26.96292195,AK.1,R,U
-120.04026381,27.01183411,AK.1,R,U
-120.13286344,26.94492643,AK.1,R,U
-120.16206524,26.90911681,AK.1,R,U
-120.15369798,26.88443956,AK.1,R,U
-120.1917816,26.86236908,AK.1,R,U
-120.18279157,26.84082128,AK.1,R,U
-120.19393545,26.80732378,AK.1,R,U
-120.23292666,26.82916865,AK.1,R,U
-120.23391293,26.87929303,AK.1,R,U
-120.22412596,26.89534959,AK.1,R,U
-120.26859416,26.91951354,AK.1,R,U
-120.27264974,26.95470425,AK.1,R,U
-120.24357739,26.96862724,AK.1,R,U
-120.24237017,26.99343827,AK.1,R,U
-120.25781522,27.00944771,AK.1,R,U
-120.30455621,26.99252951,AK.1,R,U
-120.31110817,27.03011732,AK.1,R,U
-120.29629682,27.07838717,AK.1,R,U
-120.29707903,27.04668081,AK.1,R,U
-120.22582088,27.05910919,AK.1,R,U
-120.26606312,27.07977208,AK.1,R,U
-120.27787499,27.11702493,AK.1,R,U
-120.18401277,27.11904691,AK.1,R,U
-120.20463449,27.1784674,AK.1,R,U
-120.18709186,27.22472277,AK.1,R,U
-120.04918652,27.37451481,AK.1,R,U
-120.01114903,27.37226712,AK.1,R,U
-120.01232501,27.34684634,AK.1,R,U
-119.97180474,27.32636362,AK.1,R,U
-120.00102349,27.30578567,AK.1,R,U
-119.96604046,27.32316556,AK.1,R,U
-119.98203733,27.34083576,AK.1,R,U
-119.97131492,27.3581665,AK.1,R,U
-120.00852224,27.35052079,AK.1,R,U
-119.99728212,27.373001,AK.1,R,U
-120.00702125,27.38378763,AK.1,R,U
-119.92939418,27.44715406,AK.1,R,U
-119.99303744,27.40072708,AK.1,R,U
-119.99881351,27.4692781,AK.1,R,U
-119.97666877,27.46992912,AK.1,R,U
-119.99358536,27.49033638,AK.1,R,U
-119.9523848,27.55732081,AK.1,R,U
-119.88385833,27.54818562,AK.1,R,U
-119.92368582,27.60144747,AK.1,R,U
-119.88215614,27.63151353,AK.1,R,U
-119.83878829,27.64263372,AK.1,R,U
-119.76883497,27.61715461,AK.1,R,U
-119.75683053,27.58750936,AK.1,R,U
-119.7639798,27.57572286,AK.1,R,U
-119.74213113,27.57786378,AK.1,R,U
-119.79628509,27.52785734,AK.1,R,U
-119.74287404,27.57130268,AK.1,R,U
-119.71332384,27.5349403,AK.1,R,U
-119.66213139,27.54529282,AK.1,R,U
-119.58615086,27.60628624,AK.1,R,U
-119.57275091,27.62132653,AK.1,R,U
-119.5014468,27.70188486,AK.1,R,U
-119.5053917,27.72269837,AK.1,R,U
-119.45709054,27.69527484,AK.1,R,U
-119.48431977,27.67529264,AK.1,R,U
-119.30600662,27.69664028,AK.1,R,U
-119.23213597,27.78212267,AK.1,R,U
-119.22444457,27.82670945,AK.1,R,U
-119.24316022,27.91187367,AK.1,R,U
-119.23839258,27.97868718,AK.1,R,U
-119.27954013,28.04268596,AK.1,R,U
-119.26877395,28.05094276,AK.1,R,U
-119.3283748,28.04366118,AK.1,R,U
-119.29737058,28.10005906,AK.1,R,U
-119.23117848,28.09053339,AK.1,R,U
-119.24324106,28.10241902,AK.1,R,U
-119.19552589,28.12504338,AK.1,R,U
-119.184529,28.16413406,AK.1,R,U
-119.23617422,28.24928186,AK.1,R,U
-119.20798155,28.25337789,AK.1,R,U
-119.24204727,28.25430503,AK.1,R,U
-119.27976016,28.19893137,AK.1,R,U
-119.31079974,28.18440827,AK.1,R,U
-119.348721,28.21754716,AK.1,R,U
-119.33632636,28.20327654,AK.1,R,U
-119.36929101,28.17540838,AK.1,R,U
-119.40672295,28.18020586,AK.1,R,U
-119.49512554,28.11046635,AK.1,R,U
-119.51222513,28.05906845,AK.1,R,U
-119.5398119,28.04147874,AK.1,R,U
-119.547946,28.0903309,AK.1,R,U
-119.53855814,28.10446944,AK.1,R,U
-119.57244186,28.12994993,AK.1,R,U
-119.58323148,28.17262653,AK.1,R,U
-119.62608508,28.15157486,AK.1,R,U
-119.57242019,28.11570712,AK.1,R,U
-119.60228926,28.075401630000002,AK.1,R,U
-119.65700582,28.14410918,AK.1,R,U
-119.78801751,28.16370194,AK.1,R,U
-119.85541162,28.13374728,AK.1,R,U
-119.84304353,28.14748842,AK.1,R,U
-119.88299748,28.13741586,AK.1,R,U
-119.88591165,28.15701055,AK.1,R,U
-119.89005192,28.12694475,AK.1,R,U
-119.86335074,28.1308131,AK.1,R,U
-119.90903643,28.12383245,AK.1,R,U
-120.09738397,28.21005119,AK.1,R,U
-120.12776909,28.2703688,AK.1,R,U
-120.09827819,28.32904695,AK.1,R,U
-120.14036487,28.37625678,AK.1,R,U
-120.16446179,28.4358526,AK.1,R,U
-120.16406656,28.46765083,AK.1,R,U
-120.14128501,28.49373151,AK.1,R,U
-120.16396925,28.44150854,AK.1,R,U
-120.12786698,28.42422109,AK.1,R,U
-120.10376581,28.42676669,AK.1,R,U
-120.08667445,28.4460598,AK.1,R,U
-120.08576647,28.46551295,AK.1,R,U
-120.06512363,28.47634179,AK.1,R,U
-120.01463018,28.4621282,AK.1,R,U
-120.09777843,28.51948429,AK.1,R,U
-120.22558531,28.56167842,AK.1,R,U
-120.30716546,28.64085389,AK.1,R,U
-120.30730665,28.679103,AK.1,R,U
-120.25590147,28.70551907,AK.1,R,U
-120.29181293,28.6823861,AK.1,R,U
-120.29844124,28.66144163,AK.1,R,U
-120.25534196,28.68785,AK.1,R,U
-120.20709429,28.68470642,AK.1,R,U
-120.20950511,28.71198778,AK.1,R,U
-120.16701996,28.74175567,AK.1,R,U
-120.11982379,28.72953384,AK.1,R,U
-120.08746637,28.7479957,AK.1,R,U
-120.09846471,28.76543148,AK.1,R,U
-120.07095348,28.76426476,AK.1,R,U
-120.05148993,28.79397824,AK.1,R,U
-119.97150229,28.82902721,AK.1,R,U
-119.90605274,28.78895569,AK.1,R,U
-119.85475194,28.79868842,AK.1,R,U
-119.90697919,28.837097,AK.1,R,U
-119.88190298,28.87183818,AK.1,R,U
-119.77768006,28.9079819,AK.1,R,U
-119.76179037,28.88619604,AK.1,R,U
-119.70054606,28.94050556,AK.1,R,U
-119.64783735,28.94993971,AK.1,R,U
-119.64075714,28.95122763,AK.1,R,U
-119.57478276,28.948921,AK.1,R,U
-119.52993455,28.92745976,AK.1,R,U
-119.57748209,28.93823113,AK.1,R,U
-119.55365692,28.91050462,AK.1,R,U
-119.58455404,28.86392997,AK.1,R,U
-119.58677125,28.81810528,AK.1,R,U
-119.64531698,28.79058338,AK.1,R,U
-119.60236896,28.79239633,AK.1,R,U
-119.59496288,28.75334855,AK.1,R,U
-119.57040159,28.73403576,AK.1,R,U
-119.42574895,28.73377835,AK.1,R,U
-119.41815696,28.68949286,AK.1,R,U
-119.33165185,28.7133549,AK.1,R,U
-119.28451626,28.66877004,AK.1,R,U
-119.28572103,28.68393151,AK.1,R,U
-119.26332351,28.70880906,AK.1,R,U
-119.2728039,28.70881047,AK.1,R,U
-119.22164719,28.77951279,AK.1,R,U
-119.15302496,28.76399119,AK.1,R,U
-119.16234886,28.72244838,AK.1,R,U
-119.17415363,28.71650264,AK.1,R,U
-119.15557493,28.72118097,AK.1,R,U
-119.13899876,28.76693117,AK.1,R,U
-119.15365412,28.80275178,AK.1,R,U
-119.24347982,28.83532669,AK.1,R,U
-119.27543164,28.82293329,AK.1,R,U
-119.27223533,28.7892377,AK.1,R,U
-119.281157,28.78701652,AK.1,R,U
-119.28573357,28.81050094,AK.1,R,U
-119.26517537,28.85021332,AK.1,R,U
-119.26435093,28.88884855,AK.1,R,U
